record,workout,date,started_utc,routine,kind,timing,minutes,effort_1_5,finger_strain_1_5,daily_target,completed,planned,set,pull,edge_mm,fingers,position,hand,planned_s,held_s,peak_kg,avg_kg,target_low_kg,target_high_kg,max_at_start_kg,outcome,source,notes,ended_utc,time_source,max_reference,started_elapsed_s,ended_elapsed_s,gap_before_s,planned_rest_s,planned_lead_in_s,recorded
guide,,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,"Get a Grip CSV v2. workout is a permanent UUID; (workout,pull) identifies a recorded pull. record=workout contains totals; set or pull rows describe the same work: do not add them to workout totals. Summary groups recorded pulls by set, grip, hand and identical prescription. recorded counts outcomes, including skips; completed counts completed outcomes only. Summary planned_s and held_s are sums, peak_kg is the maximum, avg_kg is weighted by credited held_s; outcome lists counts. Workbook planned is the full planned pull count, including unattempted pulls. Dates are local training days; UTC timestamps are absolute. Blank is unavailable, never zero. ended_utc is the stored finish: runner_completion for newly timed sessions; legacy_save_or_end may include time on an old save screen. Manual logs have no known end instant. started_elapsed_s and ended_elapsed_s are host-monotonic observations from session start, including pauses and waiting; ended marks outcome recording, not necessarily physical release. Old timing is not_recorded; not_started means no engagement before an outcome. Summary offsets span the group only when all performed pulls have timing. gap_before_s includes pauses and waiting, not just rest. planned_rest_s and planned_lead_in_s are saved prescriptions (sums on set rows); rest includes set breaks. kg is force in kilograms; held_s is credited time above threshold. timing is inferred: gauge if any pull has positive force, timerOnly otherwise; logged means manual or no surviving detail. Skips and timer-only pulls have no force values. Target bounds are frozen prescriptions. max_at_start_kg uses only records at or before start; max_reference distinguishes hand_specific, both_hands, both_hands_fallback and no_recorded_max_at_start. Missing does not prove a grip was never benchmarked. Never add hand maxes. Effort and strain are 1-5, not Borg CR10. Fingers: I=index M=middle R=ring L=little T=thumb. fingerCurl starts in half crimp. Formula-like text is apostrophe-protected. No raw force trace or gauge model is stored. Scope: workout; detail: pulls.",,,,,,,,,
workout,00000000-0000-0000-0000-00000000c5a2,2026-08-28,2026-08-28T09:00:00Z,Daily no-hangs,hang,gauge,20,,,2,1,1,,,,,,,,10.0,18.0,16.2,,,,,,,2026-08-28T09:00:00Z,runner_completion,,,,,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,1,20,IMRL,halfCrimp,left,10,2.0,20.0,10.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,3.0,13.0,,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,2,20,IMRL,halfCrimp,right,10,3.0,21.0,11.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,33.0,43.0,20.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,3,20,IMRL,halfCrimp,left,10,4.0,22.0,12.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,63.0,73.0,20.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,4,20,IMRL,halfCrimp,right,10,5.0,23.0,13.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,93.0,103.0,20.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,5,20,IMRL,halfCrimp,left,10,2.0,24.0,14.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,123.0,133.0,20.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,6,20,IMRL,halfCrimp,right,10,3.0,25.0,15.0,,,,earlyRelease,,,,host_monotonic,no_recorded_max_at_start,153.0,163.0,20.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,7,20,IMRL,halfCrimp,left,10,4.0,26.0,16.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,183.0,193.0,20.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,8,20,IMRL,halfCrimp,right,10,0.0,,,,,,skipped,,,,not_started,no_recorded_max_at_start,,223.0,,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,9,20,IMRL,halfCrimp,left,10,2.0,28.0,18.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,243.0,253.0,50.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,10,20,IMRL,halfCrimp,right,10,3.0,29.0,19.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,273.0,283.0,20.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,11,20,IMRL,halfCrimp,left,10,4.0,30.0,20.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,303.0,313.0,20.0,,,
pull,00000000-0000-0000-0000-00000000c5a2,2026-08-28,,Daily no-hangs,,gauge,,,,,,,1,12,20,IMRL,halfCrimp,right,10,5.0,31.0,21.0,,,,completed,,,,host_monotonic,no_recorded_max_at_start,333.0,343.0,20.0,,,
