record,workout,date,started_utc,routine,kind,timing,minutes,effort_1_5,finger_strain_1_5,daily_target,completed,planned,set,pull,edge_mm,fingers,position,hand,planned_s,held_s,peak_kg,avg_kg,target_low_kg,target_high_kg,max_at_start_kg,outcome,source,notes,ended_utc,time_source,max_reference,started_elapsed_s,ended_elapsed_s,gap_before_s,planned_rest_s,planned_lead_in_s,recorded
guide,,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,"Get a Grip CSV v2. workout is a permanent UUID; (workout,pull) identifies a recorded pull. record=workout contains totals; set or pull rows describe the same work: do not add them to workout totals. Summary groups recorded pulls by set, grip, hand and identical prescription. recorded counts outcomes, including skips; completed counts completed outcomes only. Summary planned_s and held_s are sums, peak_kg is the maximum, avg_kg is weighted by credited held_s; outcome lists counts. Workbook planned is the full planned pull count, including unattempted pulls. Dates are local training days; UTC timestamps are absolute. Blank is unavailable, never zero. ended_utc is the stored finish: runner_completion for newly timed sessions; legacy_save_or_end may include time on an old save screen. Manual logs have no known end instant. started_elapsed_s and ended_elapsed_s are host-monotonic observations from session start, including pauses and waiting; ended marks outcome recording, not necessarily physical release. Old timing is not_recorded; not_started means no engagement before an outcome. Summary offsets span the group only when all performed pulls have timing. gap_before_s includes pauses and waiting, not just rest. planned_rest_s and planned_lead_in_s are saved prescriptions (sums on set rows); rest includes set breaks. kg is force in kilograms; held_s is credited time above threshold. timing is inferred: gauge if any pull has positive force, timerOnly otherwise; logged means manual or no surviving detail. Skips and timer-only pulls have no force values. Target bounds are frozen prescriptions. max_at_start_kg uses only records at or before start; max_reference distinguishes hand_specific, both_hands, both_hands_fallback and no_recorded_max_at_start. Missing does not prove a grip was never benchmarked. Never add hand maxes. Effort and strain are 1-5, not Borg CR10. Fingers: I=index M=middle R=ring L=little T=thumb. fingerCurl starts in half crimp. Formula-like text is apostrophe-protected. No raw force trace or gauge model is stored. Scope: all; detail: summary.",,,,,,,,,
workout,00000000-0000-0000-0000-000000000173,2026-08-28,2026-08-28T09:00:00Z,Gym,climbLimit,logged,85,3,5,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000172,2026-08-27,2026-08-27T09:00:00Z,Daily no-hangs,hang,gauge,27,,,,4,5,,,,,,,,12.8,18.1,16.3,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000172,2026-08-27,,Daily no-hangs,,gauge,,,,,3,,1,,35,IMT,pinch,left,30,10.3,18.1,13.8,,,33.6,completed:3,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000172,2026-08-27,,Daily no-hangs,,gauge,,,,,1,,1,,35,IMT,pinch,right,20,2.5,10.6,9.5,,,31.4,completed:1|skipped:1,,,,not_recorded,hand_specific,,,,,,2
workout,00000000-0000-0000-0000-000000000170,2026-08-26,2026-08-26T09:00:00Z,Daily no-hangs,hang,gauge,23,1,,,7,7,,,,,,,,24.2,20.3,18.3,,,,,,"Felt strong on the 45mm 4F SLOPER | second set
kept the shoulders down.",,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,1,,1,,45,IMRL,sloper,left,10,3.5,8.1,7.3,9.5,13.0,37.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,3,,1,,45,IMRL,sloper,right,30,9.2,17.3,15.0,,,35.4,completed:3,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,3,,1,,45,IMRL,sloper,left,30,11.5,20.3,14.0,,,37.6,completed:3,,,,not_recorded,hand_specific,,,,,,3
workout,00000000-0000-0000-0000-000000000171,2026-08-26,2026-08-26T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,7,7,,,,,,,,24.2,20.3,18.3,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,1,,1,,45,IMRL,sloper,left,10,3.5,8.1,7.3,9.5,13.0,37.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,3,,1,,45,IMRL,sloper,right,30,9.2,17.3,15.0,,,35.4,completed:3,,,,not_recorded,hand_specific,,,,,,3
set,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,3,,1,,45,IMRL,sloper,left,30,11.5,20.3,14.0,,,37.6,completed:3,,,,not_recorded,hand_specific,,,,,,3
workout,00000000-0000-0000-0000-000000000169,2026-08-25,2026-08-25T09:00:00Z,Gym,climbVolume,logged,87,2,2,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000168,2026-08-24,2026-08-24T09:00:00Z,Weighted hangs,hangManual,logged,25,4,,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000167,2026-08-23,2026-08-23T09:00:00Z,Daily no-hangs,hang,gauge,26,,4,,2,4,,,,,,,,9.3,20.6,18.5,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000167,2026-08-23,,Daily no-hangs,,gauge,,,,,0,,1,,45,IMRL,sloper,left,10,4.3,13.3,12.0,9.5,13.0,37.6,aborted:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000167,2026-08-23,,Daily no-hangs,,gauge,,,,,0,,1,,45,IMRL,sloper,right,10,0.0,,,,,35.4,skipped:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000167,2026-08-23,,Daily no-hangs,,gauge,,,,,1,,1,,45,IMRL,sloper,left,10,4.4,19.7,17.7,,,37.6,completed:1,,,,not_recorded,hand_specific,,,,,,1
set,00000000-0000-0000-0000-000000000167,2026-08-23,,Daily no-hangs,,gauge,,,,,1,,1,,45,IMRL,sloper,right,10,0.6,20.6,18.5,9.5,13.0,35.4,completed:1,,,,not_recorded,hand_specific,,,,,,1
workout,00000000-0000-0000-0000-000000000166,2026-08-22,2026-08-22T09:00:00Z,Gym,climbLimit,logged,84,2,3,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000164,2026-08-21,2026-08-21T09:00:00Z,Daily no-hangs,hang,gauge,19,,,,6,6,,,,,,,,27.7,21.5,19.4,,,,,,,,legacy_save_or_end,,,,,,,
