record,workout,date,started_utc,routine,kind,timing,minutes,effort_1_5,finger_strain_1_5,daily_target,completed,planned,set,pull,edge_mm,fingers,position,hand,planned_s,held_s,peak_kg,avg_kg,target_low_kg,target_high_kg,max_at_start_kg,outcome,source,notes,ended_utc,time_source,max_reference,started_elapsed_s,ended_elapsed_s,gap_before_s,planned_rest_s,planned_lead_in_s,recorded
guide,,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,"Get a Grip CSV v2. workout is a permanent UUID; (workout,pull) identifies a recorded pull. record=workout contains totals; set or pull rows describe the same work: do not add them to workout totals. Summary groups recorded pulls by set, grip, hand and identical prescription. recorded counts outcomes, including skips; completed counts completed outcomes only. Summary planned_s and held_s are sums, peak_kg is the maximum, avg_kg is weighted by credited held_s; outcome lists counts. Workbook planned is the full planned pull count, including unattempted pulls. Dates are local training days; UTC timestamps are absolute. Blank is unavailable, never zero. ended_utc is the stored finish: runner_completion for newly timed sessions; legacy_save_or_end may include time on an old save screen. Manual logs have no known end instant. started_elapsed_s and ended_elapsed_s are host-monotonic observations from session start, including pauses and waiting; ended marks outcome recording, not necessarily physical release. Old timing is not_recorded; not_started means no engagement before an outcome. Summary offsets span the group only when all performed pulls have timing. gap_before_s includes pauses and waiting, not just rest. planned_rest_s and planned_lead_in_s are saved prescriptions (sums on set rows); rest includes set breaks. kg is force in kilograms; held_s is credited time above threshold. timing is inferred: gauge if any pull has positive force, timerOnly otherwise; logged means manual or no surviving detail. Skips and timer-only pulls have no force values. Target bounds are frozen prescriptions. max_at_start_kg uses only records at or before start; max_reference distinguishes hand_specific, both_hands, both_hands_fallback and no_recorded_max_at_start. Missing does not prove a grip was never benchmarked. Never add hand maxes. Effort and strain are 1-5, not Borg CR10. Fingers: I=index M=middle R=ring L=little T=thumb. fingerCurl starts in half crimp. Formula-like text is apostrophe-protected. No raw force trace or gauge model is stored. Scope: since 2026-07-04; detail: pulls.",,,,,,,,,
workout,00000000-0000-0000-0000-000000000173,2026-08-28,2026-08-28T09:00:00Z,Gym,climbLimit,logged,85,3,5,,0,0,,,,,,,,,,,,,,,,,,manual,,,,,,,
workout,00000000-0000-0000-0000-000000000172,2026-08-27,2026-08-27T09:00:00Z,Daily no-hangs,hang,gauge,27,,,,4,5,,,,,,,,12.8,18.1,16.3,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000172,2026-08-27,,Daily no-hangs,,gauge,,,,,,,1,1,35,IMT,pinch,left,10,4.3,15.9,14.3,,,33.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000172,2026-08-27,,Daily no-hangs,,gauge,,,,,,,1,2,35,IMT,pinch,right,10,2.5,10.6,9.5,,,31.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000172,2026-08-27,,Daily no-hangs,,gauge,,,,,,,1,3,35,IMT,pinch,left,10,3.2,18.1,16.3,,,33.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000172,2026-08-27,,Daily no-hangs,,gauge,,,,,,,1,4,35,IMT,pinch,right,10,0.0,,,,,31.4,skipped,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000172,2026-08-27,,Daily no-hangs,,gauge,,,,,,,1,5,35,IMT,pinch,left,10,2.8,11.4,10.3,,,33.6,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000170,2026-08-26,2026-08-26T09:00:00Z,Daily no-hangs,hang,gauge,23,1,,,7,7,,,,,,,,24.2,20.3,18.3,,,,,,"Felt strong on the 45mm 4F SLOPER | second set
kept the shoulders down.",,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,1,45,IMRL,sloper,left,10,3.5,8.1,7.3,9.5,13.0,37.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,2,45,IMRL,sloper,right,10,1.7,17.3,15.6,,,35.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,3,45,IMRL,sloper,left,10,6.0,20.3,18.3,,,37.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,4,45,IMRL,sloper,right,10,3.0,15.5,14.0,,,35.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,5,45,IMRL,sloper,left,10,2.5,9.5,8.6,,,37.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,6,45,IMRL,sloper,right,10,4.5,17.1,15.4,,,35.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000170,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,7,45,IMRL,sloper,left,10,3.0,11.1,10.0,,,37.6,completed,,,,not_recorded,hand_specific,,,,,,
workout,00000000-0000-0000-0000-000000000171,2026-08-26,2026-08-26T09:00:00Z,Daily no-hangs,hang,gauge,17,,,,7,7,,,,,,,,24.2,20.3,18.3,,,,,,,,legacy_save_or_end,,,,,,,
pull,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,1,45,IMRL,sloper,left,10,3.5,8.1,7.3,9.5,13.0,37.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,2,45,IMRL,sloper,right,10,1.7,17.3,15.6,,,35.4,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,3,45,IMRL,sloper,left,10,6.0,20.3,18.3,,,37.6,completed,,,,not_recorded,hand_specific,,,,,,
pull,00000000-0000-0000-0000-000000000171,2026-08-26,,Daily no-hangs,,gauge,,,,,,,1,4,45,IMRL,sloper,right,10,3.0,15.5,14.0,,,35.4,completed,,,,not_recorded,hand_specific,,,,,,
