record,workout,date,started_utc,routine,kind,timing,minutes,effort_1_5,finger_strain_1_5,daily_target,completed,planned,set,pull,edge_mm,fingers,position,hand,planned_s,held_s,peak_kg,avg_kg,target_low_kg,target_high_kg,max_at_start_kg,outcome,source,notes,ended_utc,time_source,max_reference,started_elapsed_s,ended_elapsed_s,gap_before_s,planned_rest_s,planned_lead_in_s,recorded
guide,,2026-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,"Get a Grip CSV v2. workout is a permanent UUID; (workout,pull) identifies a recorded pull. record=workout contains totals; set or pull rows describe the same work: do not add them to workout totals. Summary groups recorded pulls by set, grip, hand and identical prescription. recorded counts outcomes, including skips; completed counts completed outcomes only. Summary planned_s and held_s are sums, peak_kg is the maximum, avg_kg is weighted by credited held_s; outcome lists counts. Workbook planned is the full planned pull count, including unattempted pulls. Dates are local training days; UTC timestamps are absolute. Blank is unavailable, never zero. ended_utc is the stored finish: runner_completion for newly timed sessions; legacy_save_or_end may include time on an old save screen. Manual logs have no known end instant. started_elapsed_s and ended_elapsed_s are host-monotonic observations from session start, including pauses and waiting; ended marks outcome recording, not necessarily physical release. Old timing is not_recorded; not_started means no engagement before an outcome. Summary offsets span the group only when all performed pulls have timing. gap_before_s includes pauses and waiting, not just rest. planned_rest_s and planned_lead_in_s are saved prescriptions (sums on set rows); rest includes set breaks. kg is force in kilograms; held_s is credited time above threshold. timing is inferred: gauge if any pull has positive force, timerOnly otherwise; logged means manual or no surviving detail. Skips and timer-only pulls have no force values. Target bounds are frozen prescriptions. max_at_start_kg uses only records at or before start; max_reference distinguishes hand_specific, both_hands, both_hands_fallback and no_recorded_max_at_start. Missing does not prove a grip was never benchmarked. Never add hand maxes. Effort and strain are 1-5, not Borg CR10. Fingers: I=index M=middle R=ring L=little T=thumb. fingerCurl starts in half crimp. Formula-like text is apostrophe-protected. No raw force trace or gauge model is stored. Scope: since 2026-07-04; detail: summary.",,,,,,,,,
workout,00000000-0000-0000-0000-000000000021,2026-08-28,2026-08-28T09:00:00Z,Routine 0,hang,gauge,20,1,1,,3,3,,,,,,,,30.0,20.0,18.0,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000021,2026-08-28,,Routine 0,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,10.0,12.0,10.8,,,40.0,completed:1,,,,not_recorded,both_hands_fallback,,,,,,1
set,00000000-0000-0000-0000-000000000021,2026-08-28,,Routine 0,,gauge,,,,,1,,1,,14,IMR,openHand,right,10,10.0,10.0,9.0,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
set,00000000-0000-0000-0000-000000000021,2026-08-28,,Routine 0,,gauge,,,,,1,,1,,20,IM,fullCrimp,both,10,10.0,20.0,18.0,,,24.0,completed:1,,,,not_recorded,both_hands,,,,,,1
workout,00000000-0000-0000-0000-000000000022,2026-08-19,2026-08-19T09:00:00Z,Routine 1,hang,gauge,20,2,2,,3,3,,,,,,,,30.0,21.0,18.9,,,,,,,,legacy_save_or_end,,,,,,,
set,00000000-0000-0000-0000-000000000022,2026-08-19,,Routine 1,,gauge,,,,,1,,1,,20,IMRL,halfCrimp,left,10,10.0,13.0,11.7,,,40.0,completed:1,,,,not_recorded,both_hands_fallback,,,,,,1
set,00000000-0000-0000-0000-000000000022,2026-08-19,,Routine 1,,gauge,,,,,1,,1,,14,IMR,openHand,right,10,10.0,11.0,9.9,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
set,00000000-0000-0000-0000-000000000022,2026-08-19,,Routine 1,,gauge,,,,,1,,1,,20,IM,fullCrimp,both,10,10.0,21.0,18.9,,,,completed:1,,,,not_recorded,no_recorded_max_at_start,,,,,,1
workout,00000000-0000-0000-0000-000000000023,2026-08-10,2026-08-10T09:00:00Z,Routine 2,hang,gauge,20,3,3,,3,3,,,,,,,,30.0,22.0,19.8,,,,,,,,legacy_save_or_end,,,,,,,
